AGE,Sedentary,Protein (Cal),Carbohydrate (Cal),Fiber (gr),Total Sugar (gr),Total lipid (Cal),Total Trans Fat (Cal),Total Saturated Fat (Cal),Cholesterol (mg),Calcium (mg),Iron (mg),"Sodium, (mg)",Vitamin A (mcg RAE),Vitamin C (mg),Panera Bread,Smoothie King,Jamba Juice,McAlister's Deli,Saladworks
14,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
15,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
16,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
17,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
18,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
19,2600,173.33,476.67,10.27,13.33,260.0,8.67,86.67,83.33,433.33,5.5,766.67,300.0,25.0,78,84,75,69,74
20,2600,173.33,476.67,10.27,13.33,260.0,8.67,86.67,83.33,433.33,5.5,766.67,300.0,25.0,78,84,75,69,74
21,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
22,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
23,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
24,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
25,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
26,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
27,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
28,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
29,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
30,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
31,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
32,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
33,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
34,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
35,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
36,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
37,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
38,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
39,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
40,2400,160.0,440.0,10.27,13.33,240.0,8.0,80.0,83.33,433.33,5.5,766.67,300.0,25.0,76,84,75,68,71
41,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
42,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
43,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
44,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
45,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
46,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
47,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
48,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
49,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
50,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
51,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
52,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
53,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
54,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
55,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
56,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
57,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
58,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
59,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
60,2200,146.67,403.33,10.27,13.33,220.0,7.33,73.33,83.33,433.33,5.5,766.67,300.0,25.0,76,84,74,67,71
61,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
62,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
63,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
64,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
65,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
66,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
67,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
68,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
69,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
70,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
71,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
72,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
73,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
74,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
75,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
76,2000,133.33,366.67,10.27,13.33,200.0,6.67,66.67,83.33,433.33,5.5,766.67,300.0,25.0,74,84,72,64,71
